SRA_Run,Strain,BioSample,BioProject,Read_1,Read_2,Paired
SRR1800238,FGSC_4183,SAMN02821542,PRJNA250061,SRR1800238_1.fastq.gz,SRR1800238_2.fastq.gz,Y
SRR1587462,FGSC_7512,SAMN02821922,PRJNA249962,SRR1587462_1.fastq.gz,SRR1587462_2.fastq.gz,Y
SRR4025952,FGSC_1363,SAMN05518734,PRJNA337123,SRR4025952_1.fastq.gz,SRR4025952_2.fastq.gz,Y
SRR1800172,FGSC_2474,SAMN02822184,PRJNA249885,SRR1800172_1.fastq.gz,SRR1800172_2.fastq.gz,Y
SRR1587943,FGSC_3367,SAMN02822048,PRJNA249854,SRR1587943_1.fastq.gz,SRR1587943_2.fastq.gz,Y
SRR1797932,FGSC_2175,SAMN02910259,PRJNA250654,SRR1797932_1.fastq.gz,SRR1797932_2.fastq.gz,Y
SRR4142842,FGSC_1661_mo(NM359),SAMN03159314,PRJNA265591,SRR4142842_1.fastq.gz,SRR4142842_2.fastq.gz,Y
SRR1587466,FGSC_7518,SAMN02821996,PRJNA249965,SRR1587466_1.fastq.gz,SRR1587466_2.fastq.gz,Y
SRR4063855,FGSC_2218,SAMN02910454,PRJNA250330,SRR4063855_1.fastq.gz,SRR4063855_2.fastq.gz,Y
SRR1798238,FGSC_981,SAMN02821391,PRJNA251143,SRR1798238_1.fastq.gz,SRR1798238_2.fastq.gz,Y
SRR1587473,FGSC_7524,SAMN02822228,PRJNA249955,SRR1587473_1.fastq.gz,SRR1587473_2.fastq.gz,Y
SRR4069237,FGSC_6442,SAMN02910440,PRJNA249122,SRR4069237_1.fastq.gz,SRR4069237_2.fastq.gz,Y
SRR1798583,FGSC_25013,SAMN02821661,PRJNA251312,SRR1798583_1.fastq.gz,SRR1798583_2.fastq.gz,Y
SRR4143343,FGSC_7529_pen(JL261),SAMN03159435,PRJNA265622,SRR4143343_1.fastq.gz,SRR4143343_2.fastq.gz,Y
SRR1799272,FGSC_3304,SAMN02946458,PRJNA256747,SRR1799272_1.fastq.gz,SRR1799272_2.fastq.gz,Y
SRR1799220,FGSC_262,SAMN02822330,PRJNA250840,SRR1799220_1.fastq.gz,SRR1799220_2.fastq.gz,Y
SRR1800187,FGSC_3235,SAMN02822054,PRJNA249890,SRR1800187_1.fastq.gz,SRR1800187_2.fastq.gz,Y
SRR5829695,BB.bump,SAMN05444122,PRJNA335153,SRR5829695_1.fastq.gz,SRR5829695_2.fastq.gz,Y
SRR1798574,FGSC_25012,SAMN02822017,PRJNA251313,SRR1798574_1.fastq.gz,SRR1798574_2.fastq.gz,Y
SRR4142846,FGSC_1658_mo(NM213t),SAMN03159413,PRJNA265571,SRR4142846_1.fastq.gz,SRR4142846_2.fastq.gz,Y
SRR1587951,FGSC_3648,SAMN02821856,PRJNA249868,SRR1587951_1.fastq.gz,SRR1587951_2.fastq.gz,Y
SRR4063853,FGSC_626,SAMN02910375,PRJNA249111,SRR4063853_1.fastq.gz,SRR4063853_2.fastq.gz,Y
SRR1799256,FGSC_1596,SAMN02821854,PRJNA250792,SRR1799256_1.fastq.gz,SRR1799256_2.fastq.gz,Y
SRR3492084,FGSC_10773,SAMN02821421,PRJNA250732,SRR3492084_1.fastq.gz,NONE,N
SRR1798253,FGSC_1372,SAMN02946270,PRJNA256716,SRR1798253_1.fastq.gz,SRR1798253_2.fastq.gz,Y
SRR1800272,FGSC_5076,SAMN02821433,PRJNA250153,SRR1800272_1.fastq.gz,SRR1800272_2.fastq.gz,Y
SRR1587937,FGSC_3237,SAMN02821533,PRJNA249815,SRR1587937_1.fastq.gz,SRR1587937_2.fastq.gz,Y
SRR1800164,FGSC_1372,SAMN02822182,PRJNA249875,SRR1800164_1.fastq.gz,SRR1800164_2.fastq.gz,Y
SRR1587947,FGSC_3445,SAMN02821617,PRJNA249847,SRR1587947_1.fastq.gz,SRR1587947_2.fastq.gz,Y
SRR4061905,FGSC_10984_Mauriceville,SAMN02821826,PRJNA251242,SRR4061905_1.fastq.gz,SRR4061905_2.fastq.gz,Y
SRR1799269,FGSC_2472,SAMN02821865,PRJNA250834,SRR1799269_1.fastq.gz,SRR1799269_2.fastq.gz,Y
SRR4025954,FGSC_3562,SAMN05519139,PRJNA337493,SRR4025954_1.fastq.gz,SRR4025954_2.fastq.gz,Y
SRR4025955,FGSC_3562,SAMN05519139,PRJNA337493,SRR4025955_1.fastq.gz,SRR4025955_2.fastq.gz,Y
SRR1798518,FGSC_25001,SAMN02821784,PRJNA251287,SRR1798518_1.fastq.gz,SRR1798518_2.fastq.gz,Y
SRR1800227,FGSC_3737,SAMN02822202,PRJNA250046,SRR1800227_1.fastq.gz,SRR1800227_2.fastq.gz,Y
SRR4143340,FGSC_8281_tns,SAMN03159409,PRJNA265621,SRR4143340_1.fastq.gz,SRR4143340_2.fastq.gz,Y
SRR4143345,FGSC_4327_dgr(L1),SAMN03159484,PRJNA265598,SRR4143345_1.fastq.gz,SRR4143345_2.fastq.gz,Y
SRR1587816,FGSC_632,SAMN02821499,PRJNA249952,SRR1587816_1.fastq.gz,SRR1587816_2.fastq.gz,Y
SRR4069240,FGSC_8930,SAMN02910266,PRJNA249193,SRR4069240_1.fastq.gz,SRR4069240_2.fastq.gz,Y
SRR1800271,FGSC_9718,SAMN02822204,PRJNA250159,SRR1800271_1.fastq.gz,SRR1800271_2.fastq.gz,Y
SRR1800148,FGSC_323,SAMN02822036,PRJNA249814,SRR1800148_1.fastq.gz,SRR1800148_2.fastq.gz,Y
SRR1798549,FGSC_25005,SAMN02822348,PRJNA251300,SRR1798549_1.fastq.gz,SRR1798549_2.fastq.gz,Y
SRR4069220,FGSC_5831,SAMN02910439,PRJNA249109,SRR4069220_1.fastq.gz,SRR4069220_2.fastq.gz,Y
SRR1799268,FGSC_2435,SAMN02821642,PRJNA250853,SRR1799268_1.fastq.gz,SRR1799268_2.fastq.gz,Y
SRR1587457,FGSC_4335,SAMN02821889,PRJNA249947,SRR1587457_1.fastq.gz,SRR1587457_2.fastq.gz,Y
SRR1587456,FGSC_4230,SAMN02822219,PRJNA249940,SRR1587456_1.fastq.gz,SRR1587456_2.fastq.gz,Y
SRR4069262,FGSC_8344,SAMN02910380,PRJNA249196,SRR4069262_1.fastq.gz,SRR4069262_2.fastq.gz,Y
SRR1799271,FGSC_3007,SAMN02822060,PRJNA250848,SRR1799271_1.fastq.gz,SRR1799271_2.fastq.gz,Y
SRR3491008,FGSC_9414,SAMN02821862,PRJNA250936,SRR3491008_1.fastq.gz,NONE,N
SRR1798309,FGSC_1401,SAMN02822325,PRJNA251189,SRR1798309_1.fastq.gz,SRR1798309_2.fastq.gz,Y
SRR3491017,FGSC_9433,SAMN02822067,PRJNA250955,SRR3491017_1.fastq.gz,NONE,N
SRR3490962,FGSC_6017,SAMN02821672,PRJNA250898,SRR3490962_1.fastq.gz,NONE,N
SRR1800152,FGSC_57,SAMN02821735,PRJNA249813,SRR1800152_1.fastq.gz,SRR1800152_2.fastq.gz,Y
SRR1798026,FGSC_7330,SAMN02910442,PRJNA250779,SRR1798026_1.fastq.gz,SRR1798026_2.fastq.gz,Y
SRR4143348,FGSC_4333_dgr(BEX6),SAMN03159462,PRJNA265610,SRR4143348_1.fastq.gz,SRR4143348_2.fastq.gz,Y
SRR1799242,FGSC_1516,SAMN02821852,PRJNA250780,SRR1799242_1.fastq.gz,SRR1799242_2.fastq.gz,Y
SRR1798214,FGSC_57,SAMN02946561,PRJNA256714,SRR1798214_1.fastq.gz,SRR1798214_2.fastq.gz,Y
SRR4143352,FGSC_10770_os-1_nic-1,SAMN03159287,PRJNA265501,SRR4143352_1.fastq.gz,SRR4143352_2.fastq.gz,Y
SRR1587463,FGSC_7513,SAMN02821920,PRJNA249956,SRR1587463_1.fastq.gz,SRR1587463_2.fastq.gz,Y
SRR1800240,FGSC_4186,SAMN02821548,PRJNA250048,SRR1800240_1.fastq.gz,SRR1800240_2.fastq.gz,Y
SRR1798385,FGSC_3778,SAMN02821651,PRJNA251258,SRR1798385_1.fastq.gz,SRR1798385_2.fastq.gz,Y
SRR1798424,FGSC_4309,SAMN02822393,PRJNA251245,SRR1798424_1.fastq.gz,SRR1798424_2.fastq.gz,Y
SRR1797591,FGSC_#4908,SAMN02822386,PRJNA251296,SRR1797591_1.fastq.gz,SRR1797591_2.fastq.gz,Y
SRR4063861,FGSC_2225,SAMN02910300,PRJNA250322,SRR4063861_1.fastq.gz,SRR4063861_2.fastq.gz,Y
SRR1798431,FGSC_4313,SAMN02821446,PRJNA251248,SRR1798431_1.fastq.gz,SRR1798431_2.fastq.gz,Y
SRR1587487,FGSC_9444,SAMN02821709,PRJNA250040,SRR1587487_1.fastq.gz,SRR1587487_2.fastq.gz,Y
SRR1798560,FGSC_25010,SAMN02822111,PRJNA251307,SRR1798560_1.fastq.gz,SRR1798560_2.fastq.gz,Y
SRR1798310,FGSC_1434,SAMN02821616,PRJNA251196,SRR1798310_1.fastq.gz,SRR1798310_2.fastq.gz,Y
SRR1798405,FGSC_4295,SAMN02821790,PRJNA251207,SRR1798405_1.fastq.gz,SRR1798405_2.fastq.gz,Y
SRR1799231,FGSC_670,SAMN02821464,PRJNA250896,SRR1799231_1.fastq.gz,SRR1799231_2.fastq.gz,Y
SRR4025934,FGSC_2261,SAMN05518882,PRJNA337124,SRR4025934_1.fastq.gz,SRR4025934_2.fastq.gz,Y
SRR1797931,FGSC_2069,SAMN02910254,PRJNA250660,SRR1797931_1.fastq.gz,SRR1797931_2.fastq.gz,Y
SRR1587941,FGSC_3304,SAMN02821950,PRJNA249861,SRR1587941_1.fastq.gz,SRR1587941_2.fastq.gz,Y
SRR1587441,FGSC_3896,SAMN02821844,PRJNA249867,SRR1587441_1.fastq.gz,SRR1587441_2.fastq.gz,Y
SRR1798000,FGSC_4063,SAMN02910378,PRJNA250773,SRR1798000_1.fastq.gz,SRR1798000_2.fastq.gz,Y
SRR1800268,FGSC_5785,SAMN02822329,PRJNA250142,SRR1800268_1.fastq.gz,SRR1800268_2.fastq.gz,Y
SRR4063838,FGSC_252,SAMN02910403,PRJNA250326,SRR4063838_1.fastq.gz,SRR4063838_2.fastq.gz,Y
SRR1799252,FGSC_1588,SAMN02821460,PRJNA250790,SRR1799252_1.fastq.gz,SRR1799252_2.fastq.gz,Y
SRR1800170,FGSC_2256,SAMN02822218,PRJNA249888,SRR1800170_1.fastq.gz,SRR1800170_2.fastq.gz,Y
SRR1587940,FGSC_3270,SAMN02822208,PRJNA249845,SRR1587940_1.fastq.gz,SRR1587940_2.fastq.gz,Y
SRR3491012,FGSC_9375,SAMN02821512,PRJNA250929,SRR3491012_1.fastq.gz,NONE,N
SRR1798223,FGSC_104,SAMN02821638,PRJNA251082,SRR1798223_1.fastq.gz,SRR1798223_2.fastq.gz,Y
SRR4025975,FGSC_3921,SAMN05518959,PRJNA337490,SRR4025975_1.fastq.gz,SRR4025975_2.fastq.gz,Y
SRR4025976,FGSC_3921,SAMN05518959,PRJNA337490,SRR4025976_1.fastq.gz,SRR4025976_2.fastq.gz,Y
SRR4025937,FGSC_106,SAMN05518881,PRJNA337122,SRR4025937_1.fastq.gz,SRR4025937_2.fastq.gz,Y
SRR4142838,FGSC_1646_mo(NM220),SAMN03159323,PRJNA265513,SRR4142838_1.fastq.gz,SRR4142838_2.fastq.gz,Y
SRR1800246,FGSC_4223,SAMN02822008,PRJNA250063,SRR1800246_1.fastq.gz,SRR1800246_2.fastq.gz,Y
SRR4069231,FGSC_6448,SAMN02910279,PRJNA249121,SRR4069231_1.fastq.gz,SRR4069231_2.fastq.gz,Y
SRR1798230,FGSC_419,SAMN02821727,PRJNA251131,SRR1798230_1.fastq.gz,SRR1798230_2.fastq.gz,Y
SRR4069261,FGSC_6449,SAMN02910352,PRJNA249112,SRR4069261_1.fastq.gz,SRR4069261_2.fastq.gz,Y
SRR1800156,FGSC_2327,SAMN02822206,PRJNA249826,SRR1800156_1.fastq.gz,SRR1800156_2.fastq.gz,Y
SRR1800245,FGSC_4200,SAMN02822233,PRJNA250062,SRR1800245_1.fastq.gz,SRR1800245_2.fastq.gz,Y
SRR4025953,FGSC_309,SAMN05518921,PRJNA337126,SRR4025953_1.fastq.gz,SRR4025953_2.fastq.gz,Y
SRR1800221,FGSC_3643,SAMN02821497,PRJNA249982,SRR1800221_1.fastq.gz,SRR1800221_2.fastq.gz,Y
SRR1798240,FGSC_1056,SAMN02821906,PRJNA251129,SRR1798240_1.fastq.gz,SRR1798240_2.fastq.gz,Y
SRR1587840,FGSC_1630,SAMN02821809,PRJNA249740,SRR1587840_1.fastq.gz,SRR1587840_2.fastq.gz,Y
SRR1798059,FGSC_10607,SAMN02910253,PRJNA250815,SRR1798059_1.fastq.gz,SRR1798059_2.fastq.gz,Y
SRR1798416,FGSC_4304,SAMN02821653,PRJNA251212,SRR1798416_1.fastq.gz,SRR1798416_2.fastq.gz,Y
SRR4063854,FGSC_2219,SAMN02910299,PRJNA250321,SRR4063854_1.fastq.gz,SRR4063854_2.fastq.gz,Y
SRR1587849,FGSC_2197,SAMN02822013,PRJNA249791,SRR1587849_1.fastq.gz,SRR1587849_2.fastq.gz,Y
SRR4143342,FGSC_10327_N._crassa,SAMN03159394,PRJNA265503,SRR4143342_1.fastq.gz,SRR4143342_2.fastq.gz,Y
SRR4151237,FGSC_1671_mo(36703-4-20),SAMN03159310,PRJNA265609,SRR4151237_1.fastq.gz,SRR4151237_2.fastq.gz,Y
SRR1797942,FGSC_2686,SAMN02910363,PRJNA250700,SRR1797942_1.fastq.gz,SRR1797942_2.fastq.gz,Y
SRR1587453,FGSC_4219,SAMN02822308,PRJNA249941,SRR1587453_1.fastq.gz,SRR1587453_2.fastq.gz,Y
SRR1798394,FGSC_3779,SAMN02821440,PRJNA251200,SRR1798394_1.fastq.gz,SRR1798394_2.fastq.gz,Y
SRR4069224,FGSC_6443,SAMN02910351,PRJNA249106,SRR4069224_1.fastq.gz,SRR4069224_2.fastq.gz,Y
SRR1797993,FGSC_3825,SAMN02910311,PRJNA250752,SRR1797993_1.fastq.gz,SRR1797993_2.fastq.gz,Y
SRR1798243,FGSC_1169,SAMN02822402,PRJNA251141,SRR1798243_1.fastq.gz,SRR1798243_2.fastq.gz,Y
SRR4064273,FGSC_4294,SAMN02910321,PRJNA249108,SRR4064273_1.fastq.gz,SRR4064273_2.fastq.gz,Y
SRR1800144,FGSC_13,SAMN02822193,PRJNA249809,SRR1800144_1.fastq.gz,SRR1800144_2.fastq.gz,Y
SRR1798516,FGSC_20000,SAMN02822351,PRJNA251259,SRR1798516_1.fastq.gz,SRR1798516_2.fastq.gz,Y
SRR4069232,FGSC_6454,SAMN02910408,PRJNA249200,SRR4069232_1.fastq.gz,SRR4069232_2.fastq.gz,Y
SRR1587472,FGSC_7523,SAMN02822189,PRJNA249958,SRR1587472_1.fastq.gz,SRR1587472_2.fastq.gz,Y
SRR1587468,FGSC_7519,SAMN02822215,PRJNA249960,SRR1587468_1.fastq.gz,SRR1587468_2.fastq.gz,Y
SRR1798370,FGSC_1515,SAMN02946525,PRJNA256718,SRR1798370_1.fastq.gz,SRR1798370_2.fastq.gz,Y
SRR1587791,FGSC_10,SAMN02822170,PRJNA249716,SRR1587791_1.fastq.gz,SRR1587791_2.fastq.gz,Y
SRR1798252,FGSC_1367,SAMN02946260,PRJNA256713,SRR1798252_1.fastq.gz,SRR1798252_2.fastq.gz,Y
SRR4025973,FGSC_821,SAMN05519135,PRJNA337455,SRR4025973_1.fastq.gz,SRR4025973_2.fastq.gz,Y
SRR4025974,FGSC_821,SAMN05519135,PRJNA337455,SRR4025974_1.fastq.gz,SRR4025974_2.fastq.gz,Y
SRR1587461,FGSC_7290,SAMN02821501,PRJNA249961,SRR1587461_1.fastq.gz,SRR1587461_2.fastq.gz,Y
SRR1797907,FGSC_1004,SAMN02910392,PRJNA250650,SRR1797907_1.fastq.gz,SRR1797907_2.fastq.gz,Y
SRR1799240,FGSC_1329,SAMN02821455,PRJNA250775,SRR1799240_1.fastq.gz,SRR1799240_2.fastq.gz,Y
SRR4143351,FGSC_7528_pen(JL261),SAMN03159411,PRJNA265623,SRR4143351_1.fastq.gz,SRR4143351_2.fastq.gz,Y
SRR1587454,FGSC_4228,SAMN02821493,PRJNA249939,SRR1587454_1.fastq.gz,SRR1587454_2.fastq.gz,Y
SRR1799235,FGSC_1233,SAMN02821722,PRJNA250733,SRR1799235_1.fastq.gz,SRR1799235_2.fastq.gz,Y
SRR1798020,FGSC_1010,SAMN02910445,PRJNA250653,SRR1798020_1.fastq.gz,SRR1798020_2.fastq.gz,Y
SRR1799244,FGSC_1580,SAMN02822357,PRJNA250789,SRR1799244_1.fastq.gz,SRR1799244_2.fastq.gz,Y
SRR1800250,FGSC_4296,SAMN02821717,PRJNA250140,SRR1800250_1.fastq.gz,SRR1800250_2.fastq.gz,Y
SRR1798283,FGSC_1394,SAMN02821796,PRJNA251190,SRR1798283_1.fastq.gz,SRR1798283_2.fastq.gz,Y
SRR1587445,FGSC_4102,SAMN02821850,PRJNA249879,SRR1587445_1.fastq.gz,SRR1587445_2.fastq.gz,Y
SRR4143335,FGSC_4332_dgr(BEX5),SAMN03159456,PRJNA265611,SRR4143335_1.fastq.gz,SRR4143335_2.fastq.gz,Y
SRR1797943,FGSC_3006,SAMN02910255,PRJNA250703,SRR1797943_1.fastq.gz,SRR1797943_2.fastq.gz,Y
SRR4143332,FGSC_10325_grape_(26-11),SAMN03159452,PRJNA265494,SRR4143332_1.fastq.gz,SRR4143332_2.fastq.gz,Y
SRR3490980,FGSC_7199,SAMN02821934,PRJNA250895,SRR3490980_1.fastq.gz,NONE,N
SRR1798281,FGSC_1382,SAMN02821935,PRJNA251197,SRR1798281_1.fastq.gz,SRR1798281_2.fastq.gz,Y
SRR4069255,FGSC_6453,SAMN02910268,PRJNA249194,SRR4069255_1.fastq.gz,SRR4069255_2.fastq.gz,Y
SRR4143331,FGSC_10324_grape_(10-17),SAMN03159322,PRJNA265495,SRR4143331_1.fastq.gz,SRR4143331_2.fastq.gz,Y
SRR1587857,FGSC_2323,SAMN02821410,PRJNA249798,SRR1587857_1.fastq.gz,SRR1587857_2.fastq.gz,Y
SRR1587950,FGSC_3559,SAMN02821857,PRJNA249863,SRR1587950_1.fastq.gz,SRR1587950_2.fastq.gz,Y
SRR1800155,FGSC_3907,SAMN02822162,PRJNA249824,SRR1800155_1.fastq.gz,SRR1800155_2.fastq.gz,Y
SRR1798024,FGSC_1034,SAMN02910282,PRJNA250642,SRR1798024_1.fastq.gz,SRR1798024_2.fastq.gz,Y
SRR1798375,FGSC_3775,SAMN02821803,PRJNA251246,SRR1798375_1.fastq.gz,SRR1798375_2.fastq.gz,Y
SRR1799417,FGSC_1729,SAMN02822359,PRJNA250835,SRR1799417_1.fastq.gz,SRR1799417_2.fastq.gz,Y
SRR1798007,FGSC_4761,SAMN02910381,PRJNA250755,SRR1798007_1.fastq.gz,SRR1798007_2.fastq.gz,Y
SRR1798051,FGSC_8285,SAMN02910420,PRJNA250810,SRR1798051_1.fastq.gz,SRR1798051_2.fastq.gz,Y
SRR4143337,FGSC_4331_dgr(BEX5),SAMN03159378,PRJNA265594,SRR4143337_1.fastq.gz,SRR4143337_2.fastq.gz,Y
SRR1800248,FGSC_4279,SAMN02821430,PRJNA250060,SRR1800248_1.fastq.gz,SRR1800248_2.fastq.gz,Y
SRR1800186,FGSC_3093,SAMN02821596,PRJNA249899,SRR1800186_1.fastq.gz,SRR1800186_2.fastq.gz,Y
SRR1797922,FGSC_1036,SAMN02910307,PRJNA250643,SRR1797922_1.fastq.gz,SRR1797922_2.fastq.gz,Y
SRR1800216,FGSC_3639,SAMN02946261,PRJNA256759,SRR1800216_1.fastq.gz,SRR1800216_2.fastq.gz,Y
SRR1587451,FGSC_4217,SAMN02822181,PRJNA249948,SRR1587451_1.fastq.gz,SRR1587451_2.fastq.gz,Y
SRR1798440,FGSC_6946,SAMN02821649,PRJNA251261,SRR1798440_1.fastq.gz,SRR1798440_2.fastq.gz,Y
SRR1798368,FGSC_1432,SAMN02822323,PRJNA251188,SRR1798368_1.fastq.gz,SRR1798368_2.fastq.gz,Y
SRR1587469,FGSC_7520,SAMN02822056,PRJNA249966,SRR1587469_1.fastq.gz,SRR1587469_2.fastq.gz,Y
SRR4069223,FGSC_7299,SAMN02910345,PRJNA249187,SRR4069223_1.fastq.gz,SRR4069223_2.fastq.gz,Y
SRR1799247,FGSC_1583,SAMN02821457,PRJNA250785,SRR1799247_1.fastq.gz,SRR1799247_2.fastq.gz,Y
SRR1800181,FGSC_2733,SAMN02821878,PRJNA249886,SRR1800181_1.fastq.gz,SRR1800181_2.fastq.gz,Y
SRR3491983,FGSC_10602,SAMN02821634,PRJNA250722,SRR3491983_1.fastq.gz,NONE,N
SRR1800236,FGSC_4182,SAMN02821543,PRJNA250059,SRR1800236_1.fastq.gz,SRR1800236_2.fastq.gz,Y
SRR1587844,FGSC_1665,SAMN02821853,PRJNA249733,SRR1587844_1.fastq.gz,SRR1587844_2.fastq.gz,Y
SRR1587866,FGSC_2692,SAMN02821910,PRJNA249799,SRR1587866_1.fastq.gz,SRR1587866_2.fastq.gz,Y
SRR1797884,FGSC_58,SAMN02910281,PRJNA250609,SRR1797884_1.fastq.gz,SRR1797884_2.fastq.gz,Y
SRR4142841,FGSC_1635_mo(M193-1),SAMN03159292,PRJNA265519,SRR4142841_1.fastq.gz,SRR4142841_2.fastq.gz,Y
SRR1800277,FGSC_13496,SAMN02821776,PRJNA250220,SRR1800277_1.fastq.gz,SRR1800277_2.fastq.gz,Y
SRR1800244,FGSC_4185,SAMN02821427,PRJNA250050,SRR1800244_1.fastq.gz,SRR1800244_2.fastq.gz,Y
SRR1587867,FGSC_2693,SAMN02821444,PRJNA249796,SRR1587867_1.fastq.gz,SRR1587867_2.fastq.gz,Y
SRR4142852,FGSC_1663_mo(B107),SAMN03159450,PRJNA265589,SRR4142852_1.fastq.gz,SRR4142852_2.fastq.gz,Y
SRR4142849,FGSC_1651_mo(NM219),SAMN03159498,PRJNA265572,SRR4142849_1.fastq.gz,SRR4142849_2.fastq.gz,Y
SRR1800257,FGSC_4595,SAMN02822331,PRJNA250123,SRR1800257_1.fastq.gz,SRR1800257_2.fastq.gz,Y
SRR1587859,FGSC_2384,SAMN02821821,PRJNA249797,SRR1587859_1.fastq.gz,SRR1587859_2.fastq.gz,Y
SRR1800278,FGSC_13497,SAMN02821591,PRJNA250221,SRR1800278_1.fastq.gz,SRR1800278_2.fastq.gz,Y
SRR1587458,FGSC_4336,SAMN02821895,PRJNA249945,SRR1587458_1.fastq.gz,SRR1587458_2.fastq.gz,Y
SRR1587946,FGSC_3443,SAMN02821955,PRJNA249848,SRR1587946_1.fastq.gz,SRR1587946_2.fastq.gz,Y
SRR1797940,FGSC_2376,SAMN02910425,PRJNA250708,SRR1797940_1.fastq.gz,SRR1797940_2.fastq.gz,Y
SRR1797930,FGSC_2173,SAMN02910444,PRJNA250661,SRR1797930_1.fastq.gz,SRR1797930_2.fastq.gz,Y
SRR1798023,FGSC_7328,SAMN02910252,PRJNA250772,SRR1798023_1.fastq.gz,SRR1798023_2.fastq.gz,Y
SRR1800258,FGSC_4181,SAMN02821929,PRJNA250058,SRR1800258_1.fastq.gz,SRR1800258_2.fastq.gz,Y
SRR1800265,FGSC_4601,SAMN02821713,PRJNA250136,SRR1800265_1.fastq.gz,SRR1800265_2.fastq.gz,Y
SRR1797928,FGSC_1735,SAMN02910308,PRJNA250662,SRR1797928_1.fastq.gz,SRR1797928_2.fastq.gz,Y
