SRA_Run,Strain,BioSample,BioProject,Read_1,Read_2,Paired
SRR1587474,FGSC_7526,SAMN02821962,PRJNA249949,SRR1587474_1.fastq.gz,SRR1587474_2.fastq.gz,Y
SRR1800217,FGSC_3641,SAMN02821742,PRJNA249981,SRR1800217_1.fastq.gz,SRR1800217_2.fastq.gz,Y
SRR1587938,FGSC_3238,SAMN02821839,PRJNA249804,SRR1587938_1.fastq.gz,SRR1587938_2.fastq.gz,Y
SRR1798232,FGSC_502,SAMN02821605,PRJNA251133,SRR1798232_1.fastq.gz,SRR1798232_2.fastq.gz,Y
SRR1799222,FGSC_352,SAMN02822358,PRJNA250887,SRR1799222_1.fastq.gz,SRR1799222_2.fastq.gz,Y
SRR1799237,FGSC_1235,SAMN02821526,PRJNA250748,SRR1799237_1.fastq.gz,SRR1799237_2.fastq.gz,Y
SRR4069228,FGSC_4069,SAMN02910319,PRJNA249102,SRR4069228_1.fastq.gz,SRR4069228_2.fastq.gz,Y
SRR1587479,FGSC_7782,SAMN02822211,PRJNA250022,SRR1587479_1.fastq.gz,SRR1587479_2.fastq.gz,Y
SRR1800239,FGSC_4184,SAMN02822172,PRJNA250064,SRR1800239_1.fastq.gz,SRR1800239_2.fastq.gz,Y
SRR4142835,FGSC_1668_mo(D318),SAMN03159301,PRJNA265588,SRR4142835_1.fastq.gz,SRR4142835_2.fastq.gz,Y
SRR1587459,FGSC_5181,SAMN02821891,PRJNA249944,SRR1587459_1.fastq.gz,SRR1587459_2.fastq.gz,Y
SRR1797925,FGSC_1632,SAMN02910330,PRJNA250649,SRR1797925_1.fastq.gz,SRR1797925_2.fastq.gz,Y
SRR1800274,FGSC_11397,SAMN02821584,PRJNA250147,SRR1800274_1.fastq.gz,SRR1800274_2.fastq.gz,Y
SRR4143330,FGSC_4325_dgr(BE52),SAMN03159482,PRJNA265605,SRR4143330_1.fastq.gz,SRR4143330_2.fastq.gz,Y
SRR3491011,FGSC_9367,SAMN02822276,PRJNA250933,SRR3491011_1.fastq.gz,NONE,N
SRR4061909,FGSC_25004,SAMN02821546,PRJNA251303,SRR4061909_1.fastq.gz,SRR4061909_2.fastq.gz,Y
SRR1799218,FGSC_45,SAMN02821855,PRJNA250893,SRR1799218_1.fastq.gz,SRR1799218_2.fastq.gz,Y
SRR1798025,FGSC_1017,SAMN02910361,PRJNA250640,SRR1798025_1.fastq.gz,SRR1798025_2.fastq.gz,Y
SRR1797988,FGSC_3474,SAMN02910335,PRJNA250713,SRR1797988_1.fastq.gz,SRR1797988_2.fastq.gz,Y
SRR1798058,FGSC_10606,SAMN02910422,PRJNA250812,SRR1798058_1.fastq.gz,SRR1798058_2.fastq.gz,Y
SRR1797923,FGSC_1328,SAMN02910513,PRJNA250645,SRR1797923_1.fastq.gz,SRR1797923_2.fastq.gz,Y
SRR4063837,FGSC_105,SAMN02910273,PRJNA250315,SRR4063837_1.fastq.gz,SRR4063837_2.fastq.gz,Y
SRR1798417,FGSC_4305,SAMN02822401,PRJNA251211,SRR1798417_1.fastq.gz,SRR1798417_2.fastq.gz,Y
SRR4025949,FGSC_3831,SAMN05519028,PRJNA337491,SRR4025949_1.fastq.gz,NONE,N
SRR1799253,FGSC_1589,SAMN02822253,PRJNA250791,SRR1799253_1.fastq.gz,SRR1799253_2.fastq.gz,Y
SRR1800280,FGSC_17921,SAMN02821589,PRJNA250225,SRR1800280_1.fastq.gz,SRR1800280_2.fastq.gz,Y
SRR1800218,FGSC_3642,SAMN02821666,PRJNA249980,SRR1800218_1.fastq.gz,SRR1800218_2.fastq.gz,Y
SRR1587447,FGSC_4211,SAMN02821411,PRJNA249883,SRR1587447_1.fastq.gz,SRR1587447_2.fastq.gz,Y
SRR1799264,FGSC_1597,SAMN02822284,PRJNA250794,SRR1799264_1.fastq.gz,SRR1799264_2.fastq.gz,Y
SRR3491009,FGSC_9382,SAMN02822298,PRJNA250947,SRR3491009_1.fastq.gz,NONE,N
SRR1799415,FGSC_1598,SAMN02822274,PRJNA250829,SRR1799415_1.fastq.gz,SRR1799415_2.fastq.gz,Y
SRR4143333,FGSC_10323_grape_(25-2),SAMN03159486,PRJNA265496,SRR4143333_1.fastq.gz,SRR4143333_2.fastq.gz,Y
SRR1800235,FGSC_4180,SAMN02822001,PRJNA250052,SRR1800235_1.fastq.gz,SRR1800235_2.fastq.gz,Y
SRR1797905,FGSC_861,SAMN02910423,PRJNA250648,SRR1797905_1.fastq.gz,SRR1797905_2.fastq.gz,Y
SRR1800255,FGSC_4593,SAMN02821597,PRJNA250141,SRR1800255_1.fastq.gz,SRR1800255_2.fastq.gz,Y
SRR1587442,FGSC_4041,SAMN02822209,PRJNA249862,SRR1587442_1.fastq.gz,SRR1587442_2.fastq.gz,Y
SRR1798236,FGSC_746,SAMN02821652,PRJNA251140,SRR1798236_1.fastq.gz,SRR1798236_2.fastq.gz,Y
SRR1797933,FGSC_2177,SAMN02910424,PRJNA250701,SRR1797933_1.fastq.gz,SRR1797933_2.fastq.gz,Y
SRR3490933,FGSC_3320,SAMN02822285,PRJNA250881,SRR3490933_1.fastq.gz,NONE,N
SRR1800269,FGSC_4602,SAMN02821434,PRJNA250145,SRR1800269_1.fastq.gz,SRR1800269_2.fastq.gz,Y
SRR1800165,FGSC_1515,SAMN02822049,PRJNA249878,SRR1800165_1.fastq.gz,SRR1800165_2.fastq.gz,Y
SRR4143344,FGSC_4329_dgr(L5),SAMN03159377,PRJNA265596,SRR4143344_1.fastq.gz,SRR4143344_2.fastq.gz,Y
SRR1800188,FGSC_3236,SAMN02821632,PRJNA249898,SRR1800188_1.fastq.gz,SRR1800188_2.fastq.gz,Y
SRR4142843,FGSC_1660_mo(D314),SAMN03159432,PRJNA265592,SRR4142843_1.fastq.gz,SRR4142843_2.fastq.gz,Y
SRR1587860,FGSC_2389,SAMN02946459,PRJNA256744,SRR1587860_1.fastq.gz,SRR1587860_2.fastq.gz,Y
SRR1798433,FGSC_4314,SAMN02821800,PRJNA251252,SRR1798433_1.fastq.gz,SRR1798433_2.fastq.gz,Y
SRR1798553,FGSC_25006,SAMN02821553,PRJNA251301,SRR1798553_1.fastq.gz,SRR1798553_2.fastq.gz,Y
SRR1798409,FGSC_4297,SAMN02821442,PRJNA251214,SRR1798409_1.fastq.gz,SRR1798409_2.fastq.gz,Y
SRR1587835,FGSC_1530,SAMN02821610,PRJNA249736,SRR1587835_1.fastq.gz,SRR1587835_2.fastq.gz,Y
SRR1800185,FGSC_2999,SAMN02822216,PRJNA249891,SRR1800185_1.fastq.gz,SRR1800185_2.fastq.gz,Y
SRR1798210,FGSC_13,SAMN02946259,PRJNA256715,SRR1798210_1.fastq.gz,SRR1798210_2.fastq.gz,Y
SRR1800230,FGSC_3904,SAMN02822320,PRJNA250047,SRR1800230_1.fastq.gz,SRR1800230_2.fastq.gz,Y
SRR4025944,FGSC_3246,SAMN05519213,PRJNA337448,SRR4025944_1.fastq.gz,SRR4025944_2.fastq.gz,Y
SRR4025945,FGSC_3246,SAMN05519213,PRJNA337448,SRR4025945_1.fastq.gz,SRR4025945_2.fastq.gz,Y
SRR1800254,FGSC_4592,SAMN02821965,PRJNA250135,SRR1800254_1.fastq.gz,SRR1800254_2.fastq.gz,Y
SRR4151075,FGSC_1643_col(P2615),SAMN03159471,PRJNA265515,SRR4151075_1.fastq.gz,SRR4151075_2.fastq.gz,Y
SRR4069226,FGSC_4604,SAMN02910267,PRJNA249103,SRR4069226_1.fastq.gz,SRR4069226_2.fastq.gz,Y
SRR4143338,FGSC_10329_Potassium_retention,SAMN03159404,PRJNA265502,SRR4143338_1.fastq.gz,SRR4143338_2.fastq.gz,Y
SRR1798242,FGSC_993,SAMN02821896,PRJNA251132,SRR1798242_1.fastq.gz,SRR1798242_2.fastq.gz,Y
SRR1798282,FGSC_1384,SAMN02822378,PRJNA251183,SRR1798282_1.fastq.gz,SRR1798282_2.fastq.gz,Y
SRR1798514,FGSC_10989,SAMN02821640,PRJNA251260,SRR1798514_1.fastq.gz,SRR1798514_2.fastq.gz,Y
SRR1797900,FGSC_854,SAMN02910428,PRJNA250608,SRR1797900_1.fastq.gz,SRR1797900_2.fastq.gz,Y
SRR1587830,FGSC_1224,SAMN02821808,PRJNA249728,SRR1587830_1.fastq.gz,SRR1587830_2.fastq.gz,Y
SRR1799416,FGSC_1631,SAMN02822363,PRJNA250837,SRR1799416_1.fastq.gz,SRR1799416_2.fastq.gz,Y
SRR1797937,FGSC_2344,SAMN02910331,PRJNA250706,SRR1797937_1.fastq.gz,SRR1797937_2.fastq.gz,Y
SRR1800161,FGSC_1163,SAMN02821881,PRJNA249873,SRR1800161_1.fastq.gz,SRR1800161_2.fastq.gz,Y
SRR1800282,FGSC_17966,SAMN02821779,PRJNA250226,SRR1800282_1.fastq.gz,SRR1800282_2.fastq.gz,Y
SRR3490982,FGSC_8199,SAMN02822300,PRJNA250926,SRR3490982_1.fastq.gz,NONE,N
SRR1800242,FGSC_4189,SAMN02821743,PRJNA250055,SRR1800242_1.fastq.gz,SRR1800242_2.fastq.gz,Y
SRR1587795,FGSC_137,SAMN02821847,PRJNA249735,SRR1587795_1.fastq.gz,SRR1587795_2.fastq.gz,Y
SRR1587470,FGSC_7521,SAMN02822187,PRJNA249957,SRR1587470_1.fastq.gz,SRR1587470_2.fastq.gz,Y
SRR1797901,FGSC_859,SAMN02910270,PRJNA250639,SRR1797901_1.fastq.gz,SRR1797901_2.fastq.gz,Y
SRR1800175,FGSC_2542,SAMN02822174,PRJNA249881,SRR1800175_1.fastq.gz,SRR1800175_2.fastq.gz,Y
SRR1798057,FGSC_8971,SAMN02910389,PRJNA250817,SRR1798057_1.fastq.gz,SRR1798057_2.fastq.gz,Y
SRR1587450,FGSC_4215,SAMN02821459,PRJNA249877,SRR1587450_1.fastq.gz,SRR1587450_2.fastq.gz,Y
SRR1797989,FGSC_3509,SAMN02910365,PRJNA250711,SRR1797989_1.fastq.gz,SRR1797989_2.fastq.gz,Y
SRR1797903,FGSC_856,SAMN02910396,PRJNA250613,SRR1797903_1.fastq.gz,SRR1797903_2.fastq.gz,Y
SRR1797936,FGSC_2341,SAMN02910310,PRJNA250705,SRR1797936_1.fastq.gz,SRR1797936_2.fastq.gz,Y
SRR1587471,FGSC_7522,SAMN02822314,PRJNA249959,SRR1587471_1.fastq.gz,SRR1587471_2.fastq.gz,Y
SRR1587480,FGSC_7783,SAMN02821385,PRJNA250035,SRR1587480_1.fastq.gz,SRR1587480_2.fastq.gz,Y
SRR4434478,FGSC_1585,SAMN05920773,PRJNA346386,SRR4434478_1.fastq.gz,SRR4434478_2.fastq.gz,Y
SRR1587957,FGSC_3650,SAMN02822051,PRJNA249871,SRR1587957_1.fastq.gz,SRR1587957_2.fastq.gz,Y
SRR1798054,FGSC_8372,SAMN02946341,PRJNA250813,SRR1798054_1.fastq.gz,SRR1798054_2.fastq.gz,Y
SRR1587856,FGSC_2320,SAMN02821913,PRJNA249795,SRR1587856_1.fastq.gz,SRR1587856_2.fastq.gz,Y
SRR4142854,FGSC_1674_mo(P1718),SAMN03159415,PRJNA265607,SRR4142854_1.fastq.gz,SRR4142854_2.fastq.gz,Y
SRR4142845,FGSC_1641_mo(P1417),SAMN03159470,PRJNA265516,SRR4142845_1.fastq.gz,SRR4142845_2.fastq.gz,Y
SRR1797990,FGSC_3510,SAMN02910257,PRJNA250715,SRR1797990_1.fastq.gz,SRR1797990_2.fastq.gz,Y
SRR4069227,FGSC_4606,SAMN02910374,PRJNA249107,SRR4069227_1.fastq.gz,SRR4069227_2.fastq.gz,Y
SRR1799266,FGSC_2282,SAMN02822273,PRJNA250850,SRR1799266_1.fastq.gz,SRR1799266_2.fastq.gz,Y
SRR1798421,FGSC_4310,SAMN03003355,PRJNA259092,SRR1798421_1.fastq.gz,SRR1798421_2.fastq.gz,Y
SRR1587854,FGSC_2319,SAMN02821733,PRJNA249801,SRR1587854_1.fastq.gz,SRR1587854_2.fastq.gz,Y
SRR4069233,FGSC_3122,SAMN02910373,PRJNA249105,SRR4069233_1.fastq.gz,SRR4069233_2.fastq.gz,Y
SRR1799223,FGSC_353,SAMN02821466,PRJNA250903,SRR1799223_1.fastq.gz,SRR1799223_2.fastq.gz,Y
SRR3490979,FGSC_4902,SAMN02822271,PRJNA250897,SRR3490979_1.fastq.gz,NONE,N
SRR4025961,FGSC_3114,SAMN05517978,PRJNA337445,SRR4025961_1.fastq.gz,SRR4025961_2.fastq.gz,Y
SRR4025962,FGSC_3114,SAMN05517978,PRJNA337445,SRR4025962_1.fastq.gz,SRR4025962_2.fastq.gz,Y
SRR1587478,FGSC_7530,SAMN02821378,PRJNA250029,SRR1587478_1.fastq.gz,SRR1587478_2.fastq.gz,Y
SRR4025966,FGSC_7035,SAMN05519216,PRJNA337446,SRR4025966_1.fastq.gz,SRR4025966_2.fastq.gz,Y
SRR4025967,FGSC_7035,SAMN05519216,PRJNA337446,SRR4025967_1.fastq.gz,SRR4025967_2.fastq.gz,Y
SRR4025968,FGSC_7035,SAMN05519216,PRJNA337446,SRR4025968_1.fastq.gz,SRR4025968_2.fastq.gz,Y
SRR4025969,FGSC_7035,SAMN05519216,PRJNA337446,SRR4025969_1.fastq.gz,SRR4025969_2.fastq.gz,Y
SRR1587872,FGSC_2762,SAMN02821912,PRJNA249789,SRR1587872_1.fastq.gz,SRR1587872_2.fastq.gz,Y
SRR1587828,FGSC_1113,SAMN02822168,PRJNA249727,SRR1587828_1.fastq.gz,SRR1587828_2.fastq.gz,Y
SRR1587870,FGSC_2734,SAMN02822156,PRJNA249788,SRR1587870_1.fastq.gz,SRR1587870_2.fastq.gz,Y
SRR1797995,FGSC_3877,SAMN02910312,PRJNA250754,SRR1797995_1.fastq.gz,SRR1797995_2.fastq.gz,Y
SRR1800162,FGSC_1367,SAMN02821886,PRJNA249872,SRR1800162_1.fastq.gz,SRR1800162_2.fastq.gz,Y
SRR1798377,FGSC_3768,SAMN02821782,PRJNA251203,SRR1798377_1.fastq.gz,SRR1798377_2.fastq.gz,Y
SRR1797986,FGSC_3425,SAMN02910379,PRJNA250707,SRR1797986_1.fastq.gz,SRR1797986_2.fastq.gz,Y
SRR1798008,FGSC_5785,SAMN02910286,PRJNA250763,SRR1798008_1.fastq.gz,SRR1798008_2.fastq.gz,Y
SRR1797596,FGSC_#107,SAMN02822106,PRJNA251294,SRR1797596_1.fastq.gz,SRR1797596_2.fastq.gz,Y
SRR1797941,FGSC_2391,SAMN02910334,PRJNA250710,SRR1797941_1.fastq.gz,SRR1797941_2.fastq.gz,Y
SRR1800252,FGSC_4591,SAMN02821429,PRJNA250138,SRR1800252_1.fastq.gz,SRR1800252_2.fastq.gz,Y
SRR1800267,FGSC_4924,SAMN02821454,PRJNA250146,SRR1800267_1.fastq.gz,SRR1800267_2.fastq.gz,Y
SRR4025947,FGSC_1303,SAMN05519289,PRJNA337454,SRR4025947_1.fastq.gz,SRR4025947_2.fastq.gz,Y
SRR4025948,FGSC_1303,SAMN05519289,PRJNA337454,SRR4025948_1.fastq.gz,SRR4025948_2.fastq.gz,Y
SRR1798239,FGSC_943,SAMN02822332,PRJNA251139,SRR1798239_1.fastq.gz,SRR1798239_2.fastq.gz,Y
SRR4063863,FGSC_2339,SAMN02910404,PRJNA250325,SRR4063863_1.fastq.gz,SRR4063863_2.fastq.gz,Y
SRR1798021,FGSC_6952,SAMN02910416,PRJNA250771,SRR1798021_1.fastq.gz,SRR1798021_2.fastq.gz,Y
SRR1799227,FGSC_541,SAMN02822272,PRJNA250908,SRR1799227_1.fastq.gz,SRR1799227_2.fastq.gz,Y
SRR1799243,FGSC_1579,SAMN02822024,PRJNA250788,SRR1799243_1.fastq.gz,SRR1799243_2.fastq.gz,Y
SRR1800224,FGSC_3647,SAMN02822241,PRJNA250049,SRR1800224_1.fastq.gz,SRR1800224_2.fastq.gz,Y
SRR1798584,FGSC_25014,SAMN02821942,PRJNA251311,SRR1798584_1.fastq.gz,SRR1798584_2.fastq.gz,Y
SRR4069248,FGSC_6440,SAMN02946345,PRJNA256791,SRR4069248_1.fastq.gz,SRR4069248_2.fastq.gz,Y
SRR1798234,FGSC_507,SAMN02821650,PRJNA251124,SRR1798234_1.fastq.gz,SRR1798234_2.fastq.gz,Y
SRR1800260,FGSC_4596,SAMN02821425,PRJNA250130,SRR1800260_1.fastq.gz,SRR1800260_2.fastq.gz,Y
SRR4025950,FGSC_3564,SAMN05519171,PRJNA337489,SRR4025950_1.fastq.gz,SRR4025950_2.fastq.gz,Y
SRR4025951,FGSC_3564,SAMN05519171,PRJNA337489,SRR4025951_1.fastq.gz,SRR4025951_2.fastq.gz,Y
SRR4069259,FGSC_6458,SAMN02910437,PRJNA249201,SRR4069259_1.fastq.gz,SRR4069259_2.fastq.gz,Y
SRR1587812,FGSC_380,SAMN02822166,PRJNA249870,SRR1587812_1.fastq.gz,SRR1587812_2.fastq.gz,Y
SRR1587819,FGSC_635,SAMN02822047,PRJNA249951,SRR1587819_1.fastq.gz,SRR1587819_2.fastq.gz,Y
SRR4064433,FGSC_4603,SAMN02910349,PRJNA249104,SRR4064433_1.fastq.gz,SRR4064433_2.fastq.gz,Y
SRR4142847,FGSC_1640_mo(D301),SAMN03159449,PRJNA265517,SRR4142847_1.fastq.gz,SRR4142847_2.fastq.gz,Y
SRR1798228,FGSC_317,SAMN02821613,PRJNA251068,SRR1798228_1.fastq.gz,SRR1798228_2.fastq.gz,Y
SRR1797999,FGSC_4038,SAMN02910367,PRJNA250765,SRR1797999_1.fastq.gz,SRR1797999_2.fastq.gz,Y
SRR1797994,FGSC_3859,SAMN02910296,PRJNA250759,SRR1797994_1.fastq.gz,SRR1797994_2.fastq.gz,Y
SRR1587448,FGSC_4213,SAMN02821627,PRJNA249874,SRR1587448_1.fastq.gz,SRR1587448_2.fastq.gz,Y
SRR1587483,FGSC_7921,SAMN02821933,PRJNA250038,SRR1587483_1.fastq.gz,SRR1587483_2.fastq.gz,Y
SRR1798400,FGSC_3954,SAMN02822382,PRJNA251205,SRR1798400_1.fastq.gz,SRR1798400_2.fastq.gz,Y
SRR1800243,FGSC_4187,SAMN02822243,PRJNA250054,SRR1800243_1.fastq.gz,SRR1800243_2.fastq.gz,Y
SRR1798436,FGSC_4315,SAMN02821438,PRJNA251256,SRR1798436_1.fastq.gz,SRR1798436_2.fastq.gz,Y
SRR1798284,FGSC_1400,SAMN02821941,PRJNA251191,SRR1798284_1.fastq.gz,SRR1798284_2.fastq.gz,Y
SRR1587482,FGSC_7784,SAMN02822000,PRJNA250023,SRR1587482_1.fastq.gz,SRR1587482_2.fastq.gz,Y
SRR1587796,FGSC_340,SAMN02821953,PRJNA249856,SRR1587796_1.fastq.gz,SRR1587796_2.fastq.gz,Y
SRR1799225,FGSC_386,SAMN02822377,PRJNA250899,SRR1799225_1.fastq.gz,SRR1799225_2.fastq.gz,Y
SRR1798018,FGSC_5858,SAMN02910287,PRJNA250762,SRR1798018_1.fastq.gz,SRR1798018_2.fastq.gz,Y
SRR3491010,FGSC_8204,SAMN02822365,PRJNA250946,SRR3491010_1.fastq.gz,NONE,N
SRR1798213,FGSC_64,SAMN02821890,PRJNA251069,SRR1798213_1.fastq.gz,SRR1798213_2.fastq.gz,Y
SRR1798209,FGSC_12,SAMN02822315,PRJNA251075,SRR1798209_1.fastq.gz,SRR1798209_2.fastq.gz,Y
SRR4142840,FGSC_1633_col(D5),SAMN03159399,PRJNA265520,SRR4142840_1.fastq.gz,SRR4142840_2.fastq.gz,Y
SRR1798226,FGSC_255,SAMN02821622,PRJNA251085,SRR1798226_1.fastq.gz,SRR1798226_2.fastq.gz,Y
SRR4069229,FGSC_2637,SAMN02910434,PRJNA249099,SRR4069229_1.fastq.gz,SRR4069229_2.fastq.gz,Y
SRR1798229,FGSC_336,SAMN02821615,PRJNA251074,SRR1798229_1.fastq.gz,SRR1798229_2.fastq.gz,Y
SRR4069242,FGSC_7304,SAMN02910407,PRJNA249188,SRR4069242_1.fastq.gz,SRR4069242_2.fastq.gz,Y
SRR1800241,FGSC_4188,SAMN02822003,PRJNA250056,SRR1800241_1.fastq.gz,SRR1800241_2.fastq.gz,Y
SRR1798512,FGSC_10988,SAMN02821807,PRJNA251262,SRR1798512_1.fastq.gz,SRR1798512_2.fastq.gz,Y
SRR1800232,FGSC_3906,SAMN02821708,PRJNA250051,SRR1800232_1.fastq.gz,SRR1800232_2.fastq.gz,Y
SRR1800158,FGSC_781,SAMN02822160,PRJNA249819,SRR1800158_1.fastq.gz,SRR1800158_2.fastq.gz,Y
SRR1799219,FGSC_50,SAMN02822059,PRJNA250909,SRR1799219_1.fastq.gz,SRR1799219_2.fastq.gz,Y
SRR1800169,FGSC_2137,SAMN02822217,PRJNA249866,SRR1800169_1.fastq.gz,SRR1800169_2.fastq.gz,Y
SRR1800160,FGSC_1162,SAMN02821837,PRJNA249820,SRR1800160_1.fastq.gz,SRR1800160_2.fastq.gz,Y
SRR1800174,FGSC_2328,SAMN02821458,PRJNA249884,SRR1800174_1.fastq.gz,SRR1800174_2.fastq.gz,Y
SRR1798001,FGSC_4324,SAMN02910256,PRJNA250770,SRR1798001_1.fastq.gz,SRR1798001_2.fastq.gz,Y
SRR4143341,FGSC_10321_grape_(29-40)t,SAMN03159461,PRJNA265498,SRR4143341_1.fastq.gz,SRR4143341_2.fastq.gz,Y
SRR1798225,FGSC_185,SAMN02822301,PRJNA251081,SRR1798225_1.fastq.gz,SRR1798225_2.fastq.gz,Y
SRR1587444,FGSC_4094,SAMN02821451,PRJNA249882,SRR1587444_1.fastq.gz,SRR1587444_2.fastq.gz,Y
SRR1799262,FGSC_1587,SAMN02822381,PRJNA250781,SRR1799262_1.fastq.gz,SRR1799262_2.fastq.gz,Y
SRR1797938,FGSC_2345_un-12,SAMN02821428,PRJNA250702,SRR1797938_1.fastq.gz,SRR1797938_2.fastq.gz,Y
SRR1798571,FGSC_25009,SAMN02821480,PRJNA251302,SRR1798571_1.fastq.gz,SRR1798571_2.fastq.gz,Y
SRR1798056,FGSC_9581,SAMN02910390,PRJNA250807,SRR1798056_1.fastq.gz,SRR1798056_2.fastq.gz,Y
SRR4434479,FGSC_1590,SAMN05920769,PRJNA346387,SRR4434479_1.fastq.gz,SRR4434479_2.fastq.gz,Y
SRR1800281,FGSC_18899,SAMN02822339,PRJNA250227,SRR1800281_1.fastq.gz,SRR1800281_2.fastq.gz,Y
SRR4025970,FGSC_322,SAMN05519175,PRJNA337492,SRR4025970_1.fastq.gz,SRR4025970_2.fastq.gz,Y
SRR4025971,FGSC_322,SAMN05519175,PRJNA337492,SRR4025971_1.fastq.gz,SRR4025971_2.fastq.gz,Y
SRR4025972,FGSC_322,SAMN05519175,PRJNA337492,SRR4025972_1.fastq.gz,SRR4025972_2.fastq.gz,Y
SRR1800225,FGSC_3651,SAMN02821704,PRJNA250041,SRR1800225_1.fastq.gz,SRR1800225_2.fastq.gz,Y
SRR1799236,FGSC_1234,SAMN02822244,PRJNA250746,SRR1799236_1.fastq.gz,SRR1799236_2.fastq.gz,Y
SRR4025964,FGSC_3566,SAMN05518902,PRJNA337494,SRR4025964_1.fastq.gz,NONE,N
SRR4025965,FGSC_3566,SAMN05518902,PRJNA337494,SRR4025965_1.fastq.gz,SRR4025965_2.fastq.gz,Y
SRR1799265,FGSC_2271,SAMN02822058,PRJNA250843,SRR1799265_1.fastq.gz,SRR1799265_2.fastq.gz,Y
SRR1797939,FGSC_2587,SAMN02910333,PRJNA250712,SRR1797939_1.fastq.gz,SRR1797939_2.fastq.gz,Y
SRR1799419,FGSC_2272,SAMN02821863,PRJNA250851,SRR1799419_1.fastq.gz,SRR1799419_2.fastq.gz,Y
